Title,Qty,Source,Notes/Flags
Journey Star Wars Rise Skywalker Allegiance,1,Sticky,
Journey To Star Wars Last Jedi Capt Phasma,1,Sticky,
Justice League,1,Sticky,
Justice League,1,Sticky,
Justice League,1,Sticky,
Kiss Vampirella,1,Sticky,
Lady Mechanika,1,Sticky,
Lady Mechanika Clockwork Assassin,1,Sticky,
Lady Mechanika La Belle Dame Sans Merci,1,Sticky,
Lady Mechanika Monster of Ministry,1,Sticky,
Lady Mechanika Sangre,1,Sticky,
Lady Mechanika The Devil In The Lake,1,Sticky,
Lady Mechanika The Mechanical Menagerie,1,Sticky,Series complete at #4 of 4 (Jun)
Lamentation,1,Sticky,
Last Book Youll Ever Read,1,Sticky,
Lois Lane,1,Sticky,
Lovecraft Unknown Kadath,1,Sticky,
Madame Tarantula,1,Sticky,
Maestro,1,Sticky,
Man-Thing,1,Sticky,
Mark Spears Monsters,1,Sticky,
Marvel Previews Vol 04 #10 May 2018 Extras,1,Sticky,
Mystery Science Theater 3000,1,Sticky,
New History of The DC Universe,1,Sticky,
New Vampirella,1,Sticky,
Nook,1,Sticky,
Normandy Gold,1,Sticky,
Odin,1,Sticky,"MISS? #2-4 Apr-Jun 'of 9', absent Jul AND Aug (2 months running) -- Checked full Aug 2026 solicitation list (titles+descriptions): no Odin listing at all this month. Not just missing from cart -- not solicited. Likely finished or on hiatus; verify with publisher before re-adding."
One Last Trick,1,Sticky,
Our Brilliant Ruin Horror At Crane Mansion,1,Sticky,
Peril of The Brutal Dark An Ezra Cain Mystery,1,Sticky,Series complete at #6 of 6 (May)
Peter Parker Spectacular Spider-Man,1,Sticky,
Pimp Killer,1,Sticky,
Plunge,1,Sticky,
Predator,1,Sticky,
Predator,1,Sticky,
Previews #356 May 2018,1,Sticky,
Provenance of Secrets,1,Sticky,
Pumpkinhead,1,Sticky,
Punisher Soviet,1,Sticky,
Racer X,1,Sticky,
Recount,1,Sticky,
Red Book I,1,Sticky,
Red Sonja Vampirella,1,Sticky,
Red Sonja Vampirella Betty Veronica,1,Sticky,
Rome Eternal,1,Sticky,
Rorschach,1,Sticky,
Savage Tales Vampirella One Shot,1,Sticky,
Secret Empire,1,Sticky,
Sheryl Locke Holmes,1,Sticky,
Sister Imperator,1,Sticky,
Sisterhood A Hyde Street Story,1,Sticky,Never seen in 4 months of orders
Solomon Kane Serpent Ring,1,Sticky,
Solomon Kane The Lion Errant,1,Sticky,Series complete at #4 of 4 (Aug draft)
Spectregraph,1,Sticky,
Speed Racer,1,Sticky,
Spider-Man,1,Sticky,
Spy Bunnies,1,Sticky,Series complete at #2 of 2 (Jun)
Squid Girl Magazine,1,Sticky,
Star Wars,1,Sticky,
Star Wars Age Republic Darth Maul,1,Sticky,
Star Wars Age Republic Qui-Gon Jinn,1,Sticky,
Star Wars Annual,1,Sticky,
Star Wars Aor Jango Fett,1,Sticky,
Star Wars Aor Obi-Wan Kenobi,1,Sticky,
Star Wars Darth Vader,1,Sticky,
Star Wars Droids Unplugged,1,Sticky,
Star Wars Galaxys Edge,1,Sticky,
Star Wars Han Solo Imperial Cadet,1,Sticky,
Star Wars Jedi Fallen Order Dark Temple,1,Sticky,
Star Wars Jedi Republic Mace Windu,1,Sticky,
Star Wars Lando Double Or Nothing,1,Sticky,
Star Wars Last Jedi Adaptation,1,Sticky,
Star Wars Last Jedi Storms of Crait,1,Sticky,
Star Wars Poe Dameron,1,Sticky,
Star Wars Poe Dameron Annual,1,Sticky,
Star Wars Rise Kylo Ren,1,Sticky,
Star Wars Rise of Skywalker Adaptation,1,Sticky,
Star Wars Rogue One Adaptation,1,Sticky,
Star Wars Shadow of Vader,1,Sticky,
Star Wars Solo Adaptation,1,Sticky,
Star Wars Target Vader,1,Sticky,
Star Wars Thrawn,1,Sticky,
Star Wars Tie Fighter,1,Sticky,
Star Wars Vader Dark Visions,1,Sticky,
Subspecies,1,Sticky,
Superman,1,Sticky,
Superman #423 Facsimile Edition,1,Sticky,
Superman Year One,1,Sticky,
The Amazing Spider-Man,1,Sticky,
The Cimmerian: Xuthal of The Dusk,1,Sticky,Series complete at #3 of 3 (Jul)
The Eye Collector,1,Sticky,
The Last Days of Hp Lovecraft,1,Sticky,
The Marvels,1,Sticky,
The Ribbon Queen,1,Sticky,
The Thing On The Doorstep,1,Sticky,
The Vision & The Scarlet Witch,1,Sticky,
Through Red Windows,2,Sticky,
Tigress Island,1,Sticky + Unsticky (merged),
Torpedo 1972,1,Sticky,Series complete at #6 of 6 (Jun)
Twilight Zone,1,Sticky,
Uncanny Avengers,1,Sticky,
Unholy Grail,1,Sticky,
Unsound,1,Sticky,
Vampirella,1,Sticky,
Vampirella,1,Sticky,
Vampirella (2025),1,Sticky,
Vampirella (2026),1,Sticky + Unsticky (merged),
Vampirella Archives TP,1,Sticky,
Vampirella Armageddon,1,Sticky + Unsticky (merged),
Vampirella Dark Powers,1,Sticky,
Vampirella Dark Reflections,1,Sticky,
Vampirella Dead Flowers,1,Sticky,
Vampirella Dejah Thoris,1,Sticky,
Vampirella Dracula Rage,1,Sticky,
Vampirella Dracula Unholy,1,Sticky,
Vampirella Helliday 2024 Sp,1,Sticky,
Vampirella Mindwarp,1,Sticky,
Vampirella Reanimator,1,Sticky,
Vampirella Roses For Dead,1,Sticky,
Vampirella Strikes,1,Sticky,
Vampirella vs Purgatori,1,Sticky,
Vampirella vs Red Sonja,1,Sticky,
Vampirella vs Superpowers,1,Sticky,
Vampirella Year One,1,Sticky,
Vampiverse,1,Sticky,
Vengeance of Vampirella,1,Sticky,
Vision & Scarlet Witch,1,Sticky,
W0rldtr33,1,Sticky,Cancelled by publisher (per DCBS credit note on order 968675) - remove or mark discontinued
Walk Through Hell,1,Sticky,
War of Realms,1,Sticky,
Winchester Mystery House,1,Sticky,
Wonder Woman 77 Bionic Woman,1,Sticky,
X-Files Case Files Hoot Goes There,1,Sticky,
X-Men '97,1,Sticky + Unsticky (merged),
Year of The Villain Hell Arisen,1,Sticky,
Zdarsky Comic News,1,Sticky,
DC Connect,1,Unsticky,"8/31/2026: tried adding via the order-form route (it's a line item in order 982026) -- did not stick, no series entity backing it. Permanently unaddable; keep on manual unsticky tracking."
Marvel Previews,1,Unsticky,"8/31/2026: tried adding via the order-form route -- did not stick. Only a same-named unrelated one-time item (Marvel Previews Vol 04 #10 May 2018 Extras) exists in the real pull list, not this monthly catalog. Permanently unaddable; keep on manual unsticky tracking."
World's Finest,1,Unsticky,"MISS? Ordered every month Apr-Jul, absent from Aug draft -- CONFIRMED still ongoing: #56 solicited Aug 2026 (4 covers), no relist banner. Added to pull-list-matches-v3.html (Add -- confirmed). Reconfirmed via the actual 8/29/2026 final order. 8/31/2026: tried adding via the order-form route -- did not stick, no series entity backing it (same as via search). Permanently unaddable; keep on manual unsticky tracking."
IDW Monthly Title Catalog,1,Unsticky,"8/31/2026: tried adding via the order-form route -- did not stick, no series entity backing it. Permanently unaddable; keep on manual unsticky tracking."
John Le Carre's The Circus,1,Unsticky,"Never seen in 4 months of orders. 8/31/2026: not in the current order and not findable via pull-list search (no relevant hits under 'John'). Cannot currently be added by any known mechanism."
Deluge,1,Unsticky,"Never seen in 4 months of orders. 8/31/2026: not in the current order and not findable via pull-list search. Cannot currently be added by any known mechanism."
American Caper,1,Unsticky,"Check: ordered Apr-Jun, absent Jul+Aug -- CONFIRMED: #12 shipped in the 8/29/2026 final order. 8/31/2026: tried adding via the order-form route -- did not stick, no series entity backing it (same as via search). Permanently unaddable; keep on manual unsticky tracking."
Die!Namite,1,Unsticky,"Never seen in 4 months of orders (distinct from 'Die!Namite: Blood Red' one-shot, which HAS shipped). 8/31/2026: not in the current order and not findable via pull-list search. Cannot currently be added by any known mechanism."
The Rocketeer,1,Unsticky,"MISS? Ordered every month Apr-Jul, absent from Aug draft -- CONFIRMED still ongoing: #4 (series finale) solicited Aug 2026, no relist banner. Added to pull-list-matches-v3.html (Add -- confirmed). Reconfirmed via the actual 8/29/2026 final order. 8/31/2026: tried adding via the order-form route -- did not stick, no series entity backing it (same as via search). Permanently unaddable; keep on manual unsticky tracking."
Cult-De-Sac,1,Unsticky,"Check: #1-2 Jun-Jul 'of 3', absent Aug -- CONFIRMED: #3 shipped in the 8/29/2026 final order. 8/31/2026: tried adding via the order-form route -- did not stick, no series entity backing it (same as via search). Permanently unaddable; keep on manual unsticky tracking."
Vampirella vs. Red Sonja Red City,1,Unsticky,"8/31/2026: not in the current order and not findable via pull-list search (only unrelated Vampirella hits). Cannot currently be added by any known mechanism."
Black Tower The Raven Conspiracy,1,Sticky,"Moved from Unsticky 8/31/2026 -- added to the real DCBS pull list (plid 707341) via the order-form route; DCBS will now auto-populate future issues. Previously: MISS? #1(Jun) #2(Jul) 'of 6' - not finished, absent from Aug draft -- CONFIRMED: #3 (of 6) shipped in the 8/29/2026 final order."
Doom Patrol,1,Sticky,"Moved from Unsticky 8/31/2026 -- added to the real DCBS pull list (plid 707339) via the order-form route; DCBS will now auto-populate future issues. Previously: Check: new #1 in Jul, absent Aug -- CONFIRMED: #2 shipped in the 8/29/2026 final order."
Pathfinder Vampirella,1,Sticky,"Moved from Unsticky 8/31/2026 -- added to the real DCBS pull list (plid 707337, stored there as 'Pathfinder / Vampirella: Blade of Darknes') via the order-form route. Previously: Never seen in 4 months of orders -- CONFIRMED: #1 debut shipped in the 8/29/2026 final order."
Crowbound,1,Sticky,"Moved from Unsticky 8/31/2026 -- added to the real DCBS pull list (plid 707340) via the order-form route; DCBS will now auto-populate future issues. Previously: Check: new #1 in Jul, absent Aug -- CONFIRMED: #2 shipped in the 8/29/2026 final order."
Dark Horse Monthly Catalog,1,Seen in orders only (not on either list),"Recurring free catalog item, ordered every month Apr-Aug"
Dynamite Dispatches,1,Seen in orders only (not on either list),"Seen once (Apr), $0.25 promo/insert item - verify it's worth tracking"
Ps Artbooks Magazine Psycho,1,Seen in orders only (not on either list),"8 back issues bought at once in Apr - looks like a one-time catch-up buy, not a recurring monthly pull"
Crisis Companion TP,1,Seen in orders only (not on either list),One-time TP purchase (Apr)
Curses TP,1,Seen in orders only (not on either list),One-time TP purchase (Apr)
Gatchaman TP,1,Sticky,"8/31/2026: added to the real DCBS pull list (plid 707346) via the July order's own UpdatePullListFromOrder form, as a test of whether old/closed orders support pull-list adds (they do). Landed as a distinct 'Gatchaman TP' series entry, separate from the single-issue 'Gatchaman' series (seriesCode 150840) -- correctly matches that the user only buys the TP collections, not individual issues. Kept (not removed) since it appears to track the right format."
Devils Due Presents Lovebunny & Mr Hell,1,Seen in orders only (not on either list),One-shot (May)
Vampirella X Witchblade Special,1,Seen in orders only (not on either list),One-shot (Jul) - likely already covered by a Vampirella fuzzy-match rule rather than needing its own persistent entry
You'll Never Leave This Place Alive,1,Seen in orders only (not on either list),"New #1 debut, IDW (MR), ordered 8/29/2026 (Variant B). Open-ended, no announced issue count -- verify next month whether DCBS carries it forward automatically (sticky) or it needs re-adding (unsticky)."
Filthy Lambs,1,Sticky,"New #1 (of 5) debut, IDW, ordered 8/29/2026 (Cover A). Added to the real DCBS pull list 8/31/2026 (plid 707338) via the order-form route. 5-issue limited series -- remove from the DCBS pull list once #5 ships, since it will otherwise sit there indefinitely with nothing left to solicit."
Vampirella vs Darkstalkers Special,1,Seen in orders only (not on either list),"One-shot (Aug 2026), ordered 8/29/2026. Likely already covered by the Vampirella character fuzzy-match rule rather than needing its own persistent entry (same pattern as Vampirella X Witchblade Special)."
